date,department,expense_type,amount,employee,project,region,approval_status,empty_notes
2025-10-16,市场部,差旅费,46787.47,员工032,客户增长,北京,已通过,
2025-11-23,运营部,培训费,2442.10,员工055,新产品推广,上海,已通过,
2024-08-26,人力资源部,培训费,859.82,员工026,渠道拓展,杭州,已通过,
2025-08-26,研发部,咨询费,23381.85,员工021,品牌活动,深圳,已通过,
2024-08-08,研发部,差旅费,2705.75,员工013,内部系统升级,深圳,已通过,
2024-02-14,运营部,软件订阅,15070.04,员工049,新产品推广,成都,已通过,
2025-10-05,人力资源部,咨询费,9794.28,员工025,新产品推广,上海,已通过,
2024-10-23,市场部,咨询费,6610.21,员工013,品牌活动,深圳,已通过,
2025-01-08,销售部,办公用品,9623.95,员工035,新产品推广,成都,已通过,
2025-06-30,运营部,广告投放,4488.63,员工049,内部系统升级,广州,已通过,
2024-08-12,运营部,办公用品,23618.71,员工008,客户增长,上海,待审批,
2025-02-14,研发部,差旅费,5762.11,员工073,内部系统升级,北京,已通过,
2025-02-09,运营部,软件订阅,3939.13,员工018,客户增长,广州,已通过,
2024-09-26,运营部,培训费,12064.74,员工075,品牌活动,深圳,已通过,
2024-05-21,人力资源部,软件订阅,2654.55,员工007,新产品推广,北京,已通过,
2025-11-27,财务部,培训费,980000.00,员工049,渠道拓展,杭州,已通过,
2025-07-20,市场部,会议费,25267.15,员工069,内部系统升级,广州,已通过,
2024-10-27,财务部,广告投放,12769.82,员工034,渠道拓展,北京,已通过,
2024-04-18,运营部,办公用品,23585.74,员工065,渠道拓展,北京,已通过,
2024-06-14,人力资源部,咨询费,25837.46,员工001,渠道拓展,深圳,已通过,
2024-04-24,研发部,咨询费,22612.88,员工031,新产品推广,北京,待审批,
2024-03-21,市场部,会议费,"¥13,669.41",员工009,渠道拓展,北京,已通过,
2025-05-01,人力资源部,广告投放,7209.39,员工078,品牌活动,北京,待审批,
2025-12-07,销售部,会议费,8458.22,员工048,品牌活动,成都,已通过,
2024-09-10,销售部,差旅费,9545.83,员工076,渠道拓展,北京,已通过,
2024-01-08,市场部,会议费,17715.15,员工030,新产品推广,上海,待审批,
2024-03-13,人力资源部,广告投放,7883.95,员工063,客户增长,成都,已通过,
2025-08-07,人力资源部,软件订阅,6618.97,员工061,品牌活动,北京,已通过,
2025-11-05,财务部,办公用品,11452.20,员工060,新产品推广,广州,已通过,
2025-10-23,市场部,差旅费,25526.43,员工044,新产品推广,北京,已通过,
2025-07-03,财务部,广告投放,11406.78,员工036,品牌活动,北京,待审批,
2023-12-28,财务部,咨询费,24134.41,员工071,新产品推广,上海,已通过,
2025-07-07,市场部,差旅费,58381.00,员工031,客户增长,杭州,已通过,
2024-08-06,财务部,差旅费,4710.08,员工001,品牌活动,深圳,待审批,
2025-04-10,研发部,软件订阅,18759.33,员工072,品牌活动,北京,已通过,
2024-08-10,市场部,培训费,20632.35,员工008,内部系统升级,上海,已通过,
2025-05-03,人力资源部,咨询费,14330.69,员工008,渠道拓展,上海,待审批,
2024-03-11,人力资源部,差旅费,18944.93,员工031,品牌活动,上海,已拒绝,
2025-08-06,销售部,培训费,16027.38,员工080,新产品推广,杭州,已通过,
2025-08-01,人力资源部,办公用品,25132.43,员工027,内部系统升级,北京,已通过,
2024-05-14,运营部,会议费,"¥8,483.92",员工041,新产品推广,上海,已通过,
2025-07-30,市场部,差旅费,33995.81,员工065,内部系统升级,北京,待审批,
2024-03-11,销售部,办公用品,8065.45,员工057,渠道拓展,广州,已通过,
2025-10-31,人力资源部,差旅费,17990.43,员工071,内部系统升级,广州,已通过,
2024-05-17,研发部,差旅费,24925.19,员工071,客户增长,深圳,已通过,
2024-08-03,运营部,办公用品,5796.29,员工034,渠道拓展,杭州,已通过,
2024-02-22,市场部,会议费,11929.29,员工036,新产品推广,上海,已通过,
2024-05-13,运营部,办公用品,4624.91,员工057,渠道拓展,广州,已通过,
2024-01-10,市场部,差旅费,26468.02,员工020,渠道拓展,上海,待审批,
not-a-date,人力资源部,广告投放,11618.35,员工006,内部系统升级,深圳,待审批,
2024-02-10,研发部,广告投放,19136.02,员工014,内部系统升级,成都,待审批,
2025-02-20,人力资源部,会议费,4251.79,员工031,客户增长,北京,待审批,
2024-01-26,销售部,会议费,25894.71,员工053,客户增长,深圳,已通过,
2025-12-19,市场部,软件订阅,30545.01,员工061,客户增长,北京,待审批,
2025-04-16,研发部,办公用品,22076.69,员工030,客户增长,上海,已通过,
2025-02-12,研发部,办公用品,23249.43,员工036,内部系统升级,广州,已通过,
2025-11-26,人力资源部,办公用品,25253.69,员工015,内部系统升级,北京,已通过,
2024-09-28,市场部,差旅费,16752.41,员工045,内部系统升级,杭州,已通过,
2025-06-07,市场部,软件订阅,31497.74,员工025,内部系统升级,上海,已通过,
2024-01-02,人力资源部,咨询费,15132.04,员工026,内部系统升级,杭州,已通过,
2025-11-11,研发部,培训费,8517.09,员工016,内部系统升级,成都,已通过,
2025-02-22,研发部 ,软件订阅,18775.84,员工071,客户增长,北京,已通过,
2025-01-23,运营部,会议费,24278.61,员工079,渠道拓展,深圳,已通过,
2024-01-01,研发部,办公用品,5979.89,员工075,渠道拓展,广州,已通过,
2025-03-28,财务部,会议费,5834.88,员工061,客户增长,广州,已通过,
2025-06-11,运营部,会议费,16689.59,员工012,客户增长,广州,已通过,
2024-07-22,销售部,差旅费,1408.44,员工061,渠道拓展,上海,已通过,
2025-10-06,人力资源部,广告投放,19341.58,员工050,品牌活动,杭州,已通过,
2025-11-02,运营部,差旅费,24007.07,员工014,品牌活动,北京,已通过,
2025-12-13,人力资源部,软件订阅,1459.29,员工032,新产品推广,杭州,已通过,
2025-04-20,运营部,培训费, 26555.94 ,员工077,内部系统升级,杭州,已通过,
2025-05-31,财务部,咨询费,24386.99,员工058,客户增长,广州,待审批,
2025-04-05,研发部,咨询费,6732.52,员工036,渠道拓展,杭州,已通过,
2024-10-08,财务部,差旅费,20013.63,员工031,内部系统升级,深圳,已通过,
2025-07-07,市场部,广告投放,9731.61,员工050,客户增长,广州,已通过,
2025-02-28,财务部,办公用品,14638.08,员工054,新产品推广,北京,待审批,
2025-02-02,人力资源部,会议费,637.97,员工074,品牌活动,杭州,已通过,
2024-12-26,研发部,咨询费,10992.83,员工054,渠道拓展,广州,已通过,
2025-09-09,销售部,软件订阅,5987.98,员工056,品牌活动,上海,已通过,
2025-11-15,运营部,咨询费,10936.66,员工022,品牌活动,北京,已拒绝,
2025-06-30,市场部,软件订阅,20777.46,员工004,新产品推广,广州,已通过,
2025-04-17,销售部,差旅费,7078.23,员工042,客户增长,杭州,已通过,
2025-01-23,研发部,咨询费,25573.99,员工054,内部系统升级,上海,已通过,
2025-07-06,市场部,办公用品,7964.14,员工009,新产品推广,上海,已拒绝,
2024-07-23,市场部,培训费,4368.42,员工017,品牌活动,广州,已通过,
2024-08-11,财务部,会议费,7264.07,员工048,客户增长,成都,已通过,
2024-04-27,销售部,办公用品,3133.79,员工004,内部系统升级,成都,已通过,
2025-01-19,财务部,会议费,5423.45,员工076,客户增长,上海,已通过,
2024-11-04,运营部,培训费,22578.12,员工073,新产品推广,深圳,已通过,
2025-11-08,研发部,差旅费,13657.14,员工044,新产品推广,杭州,待审批,
2024-04-18,财务部,办公用品,17840.11,员工059,客户增长,杭州,已通过,
2025-06-18,运营部,办公用品,"¥16,599.97",员工069,品牌活动,杭州,已通过,
2025-08-29,研发部,办公用品,22911.13,员工012,内部系统升级,杭州,已通过,
2025-04-20,人力资源部,培训费,17999.13,员工044,新产品推广,杭州,待审批,
2024-07-05,财务部,广告投放,10012.52,员工034,内部系统升级,深圳,待审批,
2025-12-19,研发部,培训费,386.89,员工025,新产品推广,北京,已通过,
2025-05-15,人力资源部,咨询费,6547.42,员工061,品牌活动,杭州,待审批,
2024-04-05,研发部,广告投放,11394.70,员工032,内部系统升级,广州,已通过,
2025-04-29,人力资源部,培训费,9315.80,员工071,内部系统升级,深圳,已通过,
2024-10-04,研发部,办公用品,6547.40,员工025,内部系统升级,上海,已通过,
2025-12-07,销售部,广告投放,5906.69,员工062,内部系统升级,广州,已通过,
2025-06-21,人力资源部,办公用品,26358.37,员工025,内部系统升级,北京,已通过,
2024-11-05,市场部,会议费,15011.69,员工036,新产品推广,上海,已通过,
2025-12-15,销售部,会议费,23359.39,员工063,新产品推广,上海,已通过,
2025-04-25,财务部,软件订阅,9234.12,员工007,内部系统升级,杭州,已通过,
2024-03-07,财务部,软件订阅,2185.41,员工007,客户增长,北京,待审批,
2024-11-07,市场部,广告投放,3422.43,员工054,渠道拓展,成都,待审批,
2024-08-19,人力资源部,软件订阅,12680.34,员工057,内部系统升级,成都,已拒绝,
2024-11-08,人力资源部,培训费,1799.22,员工013,客户增长,广州,已通过,
2025-11-07,市场部 ,广告投放,15316.74,员工071,新产品推广,北京,已通过,
2025-04-06,运营部,培训费,12692.31,员工005,客户增长,深圳,已通过,
2025-12-20,财务部,差旅费,18512.92,员工034,渠道拓展,广州,待审批,
2024-07-21,财务部,差旅费,15302.40,员工020,内部系统升级,北京,已通过,
2024-06-18,研发部,培训费,21000.94,员工073,内部系统升级,杭州,已通过,
2025-12-06,研发部,会议费,10888.26,员工035,渠道拓展,成都,已通过,
2024-03-23,人力资源部,差旅费,24917.11,员工042,渠道拓展,深圳,已通过,
2024-08-22,运营部,咨询费,24111.21,员工076,新产品推广,广州,待审批,
2025-08-13,市场部,咨询费,26505.96,员工061,渠道拓展,广州,已通过,
2024-10-11,销售部,培训费,12272.47,员工063,新产品推广,杭州,已通过,
2024-12-07,研发部,会议费,3036.24,员工021,内部系统升级,杭州,已通过,
2024-10-22,运营部,软件订阅,22802.22,员工071,新产品推广,杭州,已通过,
2024-09-15,研发部,差旅费,27168.75,员工052,渠道拓展,上海,已通过,
2025-07-09,财务部,软件订阅,1565.96,员工067,内部系统升级,成都,已通过,
2025-10-02,财务部,咨询费,1496.58,员工035,渠道拓展,北京,待审批,
