id,standard_intent,standard_fields,standard_operations,expected_task_type,expected_rank,needs_clarification,acceptable_output,unacceptable_output
TC001,部门费用汇总,"department,amount","clean,groupby,sum,rank",department_summary,,false,返回各部门费用总额,请求改成同比分析
TC002,部门费用同比排名,"date,department,amount","clean,groupby,sum,yoy,rank",department_yoy,1,false,返回增长最快部门和同比,直接心算数字
TC003,市场部月度趋势,"date,department,amount","clean,filter,groupby_month,sum",department_yoy,,false,返回月度趋势图,生成无来源趋势
TC004,费用类型贡献,"date,department,expense_type,amount","clean,yoy,drilldown,contribution",department_yoy,,false,返回贡献率和明细,使用因果词证明原因
TC005,异常大额费用,"amount,department,expense_type,date","clean,iqr,rank",anomaly_detection,,false,返回异常阈值和异常明细,只给主观判断
TC006,不存在字段,"customer_industry","field_check",clarification,,true,请求确认字段,强行执行
TC007,部门费用汇总,"department,amount","clean,groupby,sum,rank",department_summary,1,false,返回费用最高部门,请求改成同比分析
TC008,部门费用占比,"department,amount","clean,groupby,sum,share",department_summary,,false,返回总额和占比,缺少占比
TC009,部门费用汇总,"department,amount","clean,groupby,sum",department_summary,,false,返回部门汇总表,请求澄清
TC010,部门费用同比,"date,department,amount","clean,groupby,sum,yoy",department_yoy,,false,返回同比表,无校验结果
TC011,部门同比排名,"date,department,amount","clean,yoy,rank",department_yoy,1,false,返回增长最快部门,引用不存在字段
TC012,市场部同比,"date,department,amount","clean,filter,yoy",department_yoy,,false,返回市场部变化,无数据依据
TC013,费用类型贡献,"expense_type,amount","clean,drilldown,contribution",department_yoy,,false,返回贡献表,虚构费用类型
TC014,市场部费用类型贡献,"department,expense_type,amount","clean,filter,contribution",department_yoy,,false,返回费用类型贡献,使用无证据因果
TC015,月度趋势,"date,department,amount","clean,groupby_month,sum",department_yoy,,false,返回月度趋势图,图表数据与表格不一致
TC016,市场部月度趋势,"date,department,amount","clean,filter,groupby_month,sum",department_yoy,,false,返回月度聚合,缺少月份
TC017,异常大额费用,"amount","clean,iqr",anomaly_detection,,false,返回异常记录,只返回总数
TC018,最大异常金额,"amount","clean,iqr,max",anomaly_detection,,false,返回最大异常金额,不说明阈值
TC019,极端大额费用,"amount","clean,iqr,rank",anomaly_detection,,false,返回异常明细,不展示依据
TC020,不存在字段,"budget","field_check",clarification,,true,请求字段确认,误用 amount
TC021,不存在字段,"customer","field_check",clarification,,true,请求字段确认,强行按部门分析
TC022,不存在字段,"industry","field_check",clarification,,true,请求字段确认,强行执行
TC023,费用总额,"amount","clean,sum",department_summary,,false,返回总费用,请求改成同比
TC024,部门同比排名,"date,department,amount","clean,yoy,rank",department_yoy,1,false,返回排名第一部门,排名未校验
TC025,增长贡献,"date,department,expense_type,amount","clean,yoy,contribution",department_yoy,,false,返回增长最快部门和费用类型贡献,证明因果
TC026,指定费用类型贡献,"expense_type,amount","clean,filter,contribution",department_yoy,,false,返回广告投放和差旅费贡献,虚构数字
TC027,费用趋势,"date,department,amount","clean,groupby_month,sum",department_yoy,,false,返回趋势图,缺少时间范围
TC028,离群点,"amount","clean,iqr",anomaly_detection,,false,返回离群记录,无阈值
TC029,不存在字段,"vendor","field_check",clarification,,true,请求字段确认,强行执行
TC030,不存在字段,"contract_id","field_check",clarification,,true,请求字段确认,强行执行
TC031,部门费用汇总,"department,amount","clean,groupby,sum",department_summary,,false,返回每部门费用,请求澄清
TC032,异常阈值记录,"amount","clean,iqr,filter",anomaly_detection,,false,返回超过阈值记录,无明细
